5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2,5,1,1,1,1,1,1,,,,,,,,,,,,,4
2,2,9,0,2,,,,,,,,,,,,,,,,4
2,2,9,0,8,,,,,,,,,,,,,,,,4
2,2,9,0,0,,,,,,,,,,,,,,,,4
2,2,8,6,7,,,,,,,,,,,,,,,,4
2,8,3,3,10,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
2,,,,,,,,,,,,,,,,,,,,4
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10
